start_year,average_score,stddev_score,average_review_score,stddev_review_score,reviews_given,scores_given,usefulReviews_given
2022,7.846397735314933,1.8944800252628429,6.79445727482679,2.5443777423903198,433,247275,10007
2021,7.454133247002224,1.7865299707193325,6.721112696148359,2.5191600819020765,12618,6316765,192469
2020,7.576636346314362,1.7142399102452475,6.94495015171218,2.4081540890027973,11535,6371298,171461
2019,7.624786602388968,1.7061270542891793,7.02428722280887,2.4349550583688493,11364,8845577,170387
2018,7.467357192699091,1.766189359935515,7.099000697188008,2.4285494169579684,12909,9034272,189157
2017,7.375755144215374,1.7603821848177388,6.958091286307054,2.4051745904036292,12050,8706284,157608
2016,7.585155954071185,1.717962538816613,7.29253900250586,2.288742640377656,12371,10182453,208740
2015,7.479977696253948,1.6850954256344388,7.13268156424581,2.285811890588822,10024,10358798,151934
2014,7.430093410029762,1.7148029797387665,7.237083299537676,2.2759072595936063,12329,10236374,210854
2013,7.404476126429052,1.715093507052308,7.251086527064402,2.2607320974712652,10124,7992625,177437
2012,7.436479368226167,1.710896287177802,7.427227547035853,2.20915992077682,11268,7934485,208690
2011,7.5374232902189995,1.7633669000247338,7.685984458384047,2.2064086066408484,10681,6604764,190176
2010,7.339940591341375,1.7512557520738419,7.534772509905725,2.139533412781753,7319,4888513,119762
2009,7.5750469188541665,1.7599409687863192,7.625191307009489,2.287103499427309,6534,4193943,123319
2008,7.530607371737661,1.7655009037540192,7.71001221001221,2.204027038245847,6552,4229749,116955
2007,7.501664102216442,1.7898421698096791,7.634371554575524,2.246154159715202,7256,3643406,133935
2006,7.753962846621846,1.7311488737844511,7.959389515593895,2.1743604887134325,7535,3880670,129672
2005,7.1644152144329745,1.8518618965665028,7.186329866270431,2.523266948245299,3365,1666628,53465
2004,7.4464194660441265,1.8439932574078688,7.348078641644325,2.487946067977774,4476,2214153,76150
2003,7.261536999533633,1.8307120175463747,7.13628762541806,2.6557364530299687,2392,1252232,40989
2002,7.379202529565244,1.7064947521454557,7.380530973451328,2.3289168109262244,2373,1472506,39693
2001,7.573624761380782,1.7290823361465042,7.491039426523297,2.2292901032065213,1674,1199610,23371
2000,7.308672500531819,1.789880759636815,7.458035133376708,2.3921452500219007,1537,897861,25127
1999,7.884110771798003,1.730083980959227,8.036496350364963,2.1949715979648223,1644,853358,36782
1998,7.88928440200954,1.6564332498604968,7.948973932334997,2.1429627754920846,1803,906277,28365
1997,7.9192431921326305,1.7127624600269629,7.705699481865285,2.293418929627466,965,755119,18546
1996,7.055968154153545,1.9065290279373868,7.277997364953887,2.5648174072332854,759,390883,12002
1995,7.839373761061285,1.638809655411424,7.786144578313253,2.1655772876713253,1328,736013,24924
1994,6.808225236415939,1.8329523220396473,6.688659793814433,2.379313233813306,485,260029,6197
1993,7.26857067541996,1.6621031314117474,7.109473684210526,2.2229657502144953,475,318661,6097
1992,7.310659078067243,1.8423955962724752,7.450184501845018,2.3296509466793083,542,316791,8085
1991,6.743659131233964,1.7752503335307792,6.4832826747720365,2.311264867719362,329,156682,3778
1990,6.681933896521318,1.7966324360005073,6.447712418300654,2.305846737327093,306,140628,3564
1989,7.631756196290521,1.6854435938726868,7.261363636363637,2.3223622871457494,616,421946,8997
1988,7.975627611984225,1.6052342394393917,7.771334792122539,2.2351393074029926,914,543648,20858
1987,6.7035227119687555,1.781263856427642,6.7303030303030305,2.244206976525612,330,103954,3761
1986,7.585058846695648,1.6749019079103713,7.098501070663811,2.36365040603547,467,330095,6328
1985,7.045754420874344,1.9253191363649838,7.028011204481793,2.428598273265427,357,84429,5283
1984,7.875907979183141,1.5951000939353415,7.730569948186528,1.9364777374485487,193,108758,3028
1983,7.04039410804539,1.6744986387334266,7.16,2.0036208833747216,150,50849,2008
1982,7.3348988439306355,1.6598190080143038,7.75,1.9485196873428343,108,35984,1741
1981,7.08716323296355,1.6178404845186298,7.73404255319149,1.9684365932957222,94,46063,1635
1980,7.1925602734796685,2.0606460037192744,7.452830188679245,2.3498448208654206,53,22232,807
1979,7.758176316875258,1.5709309296548208,8.161290322580646,1.7601616791871182,186,72710,3060
1978,7.425113256761086,1.6457876417056776,7.981481481481482,1.59587606201452,54,21853,949
1977,7.1492165898617515,1.8020128426047153,7.45,2.4698178070456938,40,10850,539
1976,7.018538420204191,1.8291033131760601,7.785714285714286,1.672334684416758,14,7444,249
1975,6.253125,2.2454571808048827,6.151515151515151,3.0426264571215045,33,9600,340
1974,6.818254925613188,2.029524241046764,7.463414634146342,2.50097541946747,41,12435,563
1973,6.919761837255458,1.8697043388897239,6.72,2.3993196314533733,50,14108,711
1972,6.211280543817748,2.0077492214116117,5.9714285714285715,2.5377817349909706,35,10886,379
1971,7.087719298245614,1.9062859213566823,6.964285714285714,2.317120544781307,28,12312,372
1970,7.497655663915979,2.102947860010404,7.75,2.5526709604369433,32,10664,630
1969,6.479687637097482,1.9030223806133058,7.4375,1.865432579772697,32,11397,664
