genre,average_score,stddev_score,average_review_score,stddev_review_score,reviews_given,scores_given,favorites
Work Life,7.431345353675451,1.4568684051588763,7.777777777777778,2.386303510546059,9,5047,137
Vampire,7.454763950154922,1.7577613262652632,6.927907503967354,2.449076580398817,4411,3418833,95344
Suspense,7.934272566165904,1.6633163628487775,7.797770700636943,2.2887177910190277,11304,5848745,325101
Supernatural,7.632688223707809,1.6743771993643775,7.3906885304499355,2.297317282396213,44762,34623521,991619
Super Power,7.733297038381059,1.6831689783782617,7.369418851878101,2.3365761358444934,16932,14644828,578373
Sports,7.746594017531569,1.6027021276788083,7.731972997852102,2.0476432418708543,6518,4961564,136810
Space,7.573533013751356,1.7129680448689264,7.569410618606916,2.1948182788998043,4106,1743319,68461
Slice of Life,7.631259197964535,1.603596912856301,7.720588235294118,2.093633866854112,31756,19969092,557388
Shounen,7.720273556532076,1.646853947644824,7.521055290227774,2.2544438054976457,43552,38161326,1291070
Shoujo,7.505258670130541,1.718662125294548,7.435157613718041,2.326673932222266,9739,5265780,146392
Seinen,7.48050985087995,1.705242265135895,7.4071696676276995,2.213932685249719,18383,12433204,322402
Sci-Fi,7.481672922361049,1.7820404496110978,7.25463650872269,2.376260475031377,36342,20456562,668340
School,7.487028323491068,1.6895782683592522,7.347902750694934,2.2746868461999283,48206,35588692,848579
Samurai,7.94161268157405,1.7240239800075767,7.689267725687718,2.299712883663398,2581,1618348,69562
Romance,7.357896804006398,1.7471966462288504,7.275135087253078,2.3375925709956205,56445,35965873,796427
Psychological,7.729821799338246,1.7629286686608738,7.510539053905391,2.4052977040824826,22725,12167351,585312
Police,7.772790799694818,1.6175299554607552,7.7447985251514355,2.081183561983447,3797,2158711,94766
Parody,7.688408221473076,1.6912819282454168,7.585300759597619,2.273781801894303,4871,4348953,121745
Mystery,7.723574943272414,1.7004234974532328,7.493641318453153,2.2890629958167925,26971,16863048,599336
Music,7.59819915000519,1.7213213847868227,7.727244819646969,2.1521177938355387,6515,3006136,114875
Military,7.971206699366765,1.6391855552417989,7.661771290409241,2.2475235672962772,11167,7544116,355450
Mecha,7.486379605350078,1.80700201125814,7.249375728316964,2.3696671904904787,12014,6146004,242500
Martial Arts,7.324276327327158,1.7872181778573828,6.819063004846527,2.520042080787563,4952,3655071,110807
Kids,6.944866504949028,1.696463735360825,7.143800440205429,2.1821958645541737,1363,1538484,9609
Josei,7.602112702856988,1.692552484021317,7.892502756339581,2.0301149760649375,1814,919675,25773
Horror,7.193152138807175,1.9235792805740026,6.785027696318019,2.5914741629656253,12276,6644498,158940
Historical,7.91911135174274,1.6153680840927855,7.798882123964468,2.1154478326869146,10019,6132010,229160
Hentai,6.329750404206034,2.230944224831376,6.633567368772986,2.5930438097706134,2991,1309357,10270
Harem,6.865240859438718,1.823210675114768,6.478516727126159,2.485616875837629,12405,10074901,91542
Gourmet,7.552574982642587,1.5466171571546834,7.2151202749140895,2.0343790988188672,1455,1446068,15956
Girls Love,6.806827469056956,1.8566397803363965,6.8476277372262775,2.3998999355598025,2192,982531,14144
Game,7.341978459358896,1.7557745117175594,6.985729112610275,2.375331413844904,7708,5629916,123361
Fantasy,7.464070639066576,1.7529106034970494,7.09178811102728,2.4115306892755073,50366,37626205,985372
Erotica,6.245945066691453,2.2298544101940183,6.0,2.7377194217256693,512,279721,1923
Ecchi,6.929546469415234,1.8536660668218894,6.659666301616955,2.47089770406439,15523,13201425,133772
Drama,7.794947415063886,1.6968393946442115,7.60489632340129,2.3050098787607065,68868,39105686,1617256
Demons,7.646947208278112,1.6550499211252552,7.341129301703976,2.24074843466107,8979,7314518,199101
Comedy,7.476859972325656,1.6806561143554803,7.446650918845338,2.233946651953737,74931,59874950,1517426
Cars,7.796503435532093,1.5125184174553223,7.708154506437769,1.9445590001613944,466,355549,9234
Boys Love,6.854036222482676,2.2837976839589533,6.601347848626231,2.7680412071120846,1929,957306,17970
Award Winning,8.625441962881409,1.289520624951655,8.829181494661922,1.7277159899538013,281,317900,10304
Avant Garde,7.645680642507666,2.034079621600918,7.166716462503735,2.757859616343033,3347,1370007,98730
Adventure,7.568228210375593,1.708707272591468,7.298533128370808,2.3485352248416964,38381,28326670,950342
Action,7.524681490508545,1.7267259183640058,7.1548953444776275,2.363677885363069,77349,57657073,1708157
