Comedy,5091
Action,3495
Fantasy,2785
Adventure,2379
Drama,2146
Sci-Fi,2087
Romance,1772
Slice of Life,1716
Shounen,1690
School,1538
Supernatural,1399
Kids,1303
Hentai,1210
Historical,904
Mecha,829
Seinen,783
Ecchi,685
Mystery,678
Music,674
Shoujo,601
Sports,581
Super Power,550
Parody,535
Military,519
Demons,481
Martial Arts,420
Harem,393
Horror,388
Space,377
Game,372
Avant Garde,361
Psychological,336
Police,229
Samurai,166
Boys Love,148
Suspense,144
Vampire,135
Cars,111
Girls Love,107
Gourmet,98
Josei,96
Erotica,78
Work Life,8
Award Winning,7
